budget,method,method_label,target_psnr,runs,hits,hit_rate,mean_iter,mean_seconds
all,structsplat_quadtree_hybrid_tensor,SS qt-hybrid + tensor,32.0,8,2,0.25,426.5,0.6505582332611084
all,floyd_steinberg_tensor,Floyd + tensor,22.0,8,8,1.0,129.5,0.20489808917045593
all,floyd_steinberg_tensor,Floyd + tensor,24.0,8,6,0.75,200.33333333333334,0.3100906213124593
all,floyd_steinberg_tensor,Floyd + tensor,26.0,8,4,0.5,255.5,0.3907078504562378
all,floyd_steinberg_tensor,Floyd + tensor,28.0,8,2,0.25,161,0.26803386211395264
all,floyd_steinberg_tensor,Floyd + tensor,30.0,8,2,0.25,289,0.460141658782959
all,floyd_steinberg_tensor,Floyd + tensor,32.0,8,2,0.25,470.5,0.7259109020233154
640,gaussianimage_fixed_full,GaussianImage fixed,22.0,8,7,0.875,86,0.23081820351736887
640,gaussianimage_fixed_full,GaussianImage fixed,24.0,8,6,0.75,114.66666666666667,0.285828431447347
640,gaussianimage_fixed_full,GaussianImage fixed,26.0,8,3,0.375,191,0.4998795986175537
640,gaussianimage_fixed_full,GaussianImage fixed,28.0,8,2,0.25,92.5,0.15382027626037598
640,gaussianimage_fixed_full,GaussianImage fixed,30.0,8,2,0.25,214,0.336910605430603
640,gaussianimage_fixed_full,GaussianImage fixed,32.0,8,0,0.0,,
640,gaussianimage_plus_residual,GaussianImage++ residual,22.0,8,8,1.0,153.125,0.2625519037246704
640,gaussianimage_plus_residual,GaussianImage++ residual,24.0,8,8,1.0,284.625,0.44659483432769775
640,gaussianimage_plus_residual,GaussianImage++ residual,26.0,8,4,0.5,279.5,0.4431968927383423
640,gaussianimage_plus_residual,GaussianImage++ residual,28.0,8,2,0.25,194.5,0.29589736461639404
640,gaussianimage_plus_residual,GaussianImage++ residual,30.0,8,2,0.25,287,0.4437088966369629
640,gaussianimage_plus_residual,GaussianImage++ residual,32.0,8,2,0.25,411,0.627885103225708
640,image_gs_residual,Image-GS residual,22.0,8,8,1.0,143.75,0.2275846302509308
640,image_gs_residual,Image-GS residual,24.0,8,8,1.0,272.375,0.4238474667072296
640,image_gs_residual,Image-GS residual,26.0,8,4,0.5,241.75,0.37715351581573486
640,image_gs_residual,Image-GS residual,28.0,8,2,0.25,148,0.22797679901123047
640,image_gs_residual,Image-GS residual,30.0,8,2,0.25,272,0.41405463218688965
640,image_gs_residual,Image-GS residual,32.0,8,2,0.25,392,0.6212016344070435
640,structsplat_onedge_residual,SS on-edge + residual,22.0,8,8,1.0,106.625,0.17942598462104797
640,structsplat_onedge_residual,SS on-edge + residual,24.0,8,8,1.0,252,0.3892277777194977
640,structsplat_onedge_residual,SS on-edge + residual,26.0,8,4,0.5,211.25,0.3215498924255371
640,structsplat_onedge_residual,SS on-edge + residual,28.0,8,2,0.25,120.5,0.18627548217773438
640,structsplat_onedge_residual,SS on-edge + residual,30.0,8,2,0.25,237,0.37181735038757324
640,structsplat_onedge_residual,SS on-edge + residual,32.0,8,2,0.25,388.5,0.5938841104507446
640,structsplat_onedge_residual_relocate,SS on-edge + residual relocate,22.0,8,8,1.0,113,0.19474828243255615
640,structsplat_onedge_residual_relocate,SS on-edge + residual relocate,24.0,8,8,1.0,263.125,0.43568819761276245
