final_budget,method,method_label,iter,mean_psnr,std_psnr,runs
640,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,100,22.91661548614502,2.6878051344464904,8
640,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,125,23.592833518981934,2.888114351749691,8
640,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,150,24.055947065353394,3.004204331297505,8
640,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,175,23.629976749420166,2.786736410548126,8
640,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,200,24.624436378479004,3.0499691618280242,8
640,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,225,25.041733264923096,3.098336552800699,8
640,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,250,22.776999473571777,2.544841408029227,8
640,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,275,25.416714429855347,3.134874616295489,8
640,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,300,25.79808235168457,3.2510330161443513,8
640,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,325,26.034045934677124,3.3139116102698716,8
640,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,350,25.915470600128174,3.235553836965578,8
640,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,375,26.47027587890625,3.357251103639799,8
640,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,400,26.711278438568115,3.4360804134809793,8
640,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,425,25.983933687210083,3.183841906989161,8
640,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,450,27.04491949081421,3.4226203822659835,8
640,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,475,27.31803297996521,3.5089134867470864,8
640,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,499,27.461171627044678,3.5857793618105074,8
640,structsplat_onedge_residual_relocate,SS on-edge + residual relocate,0,16.551165223121643,1.3043055193108428,8
640,structsplat_onedge_residual_relocate,SS on-edge + residual relocate,25,20.77496099472046,2.416827461506698,8
640,structsplat_onedge_residual_relocate,SS on-edge + residual relocate,50,21.922423124313354,2.5620019822626743,8
640,structsplat_onedge_residual_relocate,SS on-edge + residual relocate,75,22.578304529190063,2.666235946331962,8
640,structsplat_onedge_residual_relocate,SS on-edge + residual relocate,100,22.576775550842285,2.651069033637141,8
640,structsplat_onedge_residual_relocate,SS on-edge + residual relocate,125,23.207530975341797,2.8009132981096654,8
640,structsplat_onedge_residual_relocate,SS on-edge + residual relocate,150,23.657947540283203,2.8947808942815585,8
