image,budget,seed,strategy,tensor,density,sampling,color,scale,opacity,renderer,loss,optimizer,lr_schedule,refine,pyramid,config_label,psnr,ssim,ms_ssim,lpips,n_gaussians,init_seconds,fit_seconds,total_seconds
000000186042,512,0,aniso_flanking,central,hybrid,jittered_grid,two_sided,uniform,none,normalized,l1,adam,none,prune_residual_add,single,strategy=aniso_flanking|tensor=central|density=hybrid|sampling=jittered_grid|color=two_sided|scale=uniform|renderer=normalized|opacity=none|loss=l1|optimizer=adam|lr_schedule=none|refine=prune_residual_add|pyramid=single,22.0659,0.63491,0.88556,,576,0.003092050552368164,0.2566559314727783,0.2598581314086914
000000186042,512,0,iso_blue_noise,central,variance,jittered_grid,local_mean,uniform,constant,normalized,l1,adam,cosine,residual_add,single,strategy=iso_blue_noise|tensor=central|density=variance|sampling=jittered_grid|color=local_mean|scale=uniform|renderer=normalized|opacity=constant|loss=l1|optimizer=adam|lr_schedule=cosine|refine=residual_add|pyramid=single,20.9383,0.57376,0.84143,,576,0.002444744110107422,0.20476078987121582,0.20738458633422852
000000186042,512,0,aniso_onedge,central,structure,wse,bilinear,spacing,constant,normalized,charbonnier,adamw,none,residual_add,single,strategy=aniso_onedge|tensor=central|density=structure|sampling=wse|color=bilinear|scale=spacing|renderer=normalized|opacity=constant|loss=charbonnier|optimizer=adamw|lr_schedule=none|refine=residual_add|pyramid=single,24.7485,0.76808,0.92121,,576,4.696611642837524,0.18681573867797852,4.883579730987549
000000186042,512,0,iso_blue_noise,scharr,variance,jittered_grid,two_sided,spacing,constant,additive,charbonnier,adam,none,residual_add,single,strategy=iso_blue_noise|tensor=scharr|density=variance|sampling=jittered_grid|color=two_sided|scale=spacing|renderer=additive|opacity=constant|loss=charbonnier|optimizer=adam|lr_schedule=none|refine=residual_add|pyramid=single,-2.9026,0.38687,0.53627,,576,0.0023682117462158203,0.19149398803710938,0.19395995140075684
000000186042,512,0,aniso_flanking,central,variance,wse,bilinear,uniform,none,normalized,l1,adam,cosine,residual_add,single,strategy=aniso_flanking|tensor=central|density=variance|sampling=wse|color=bilinear|scale=uniform|renderer=normalized|opacity=none|loss=l1|optimizer=adam|lr_schedule=cosine|refine=residual_add|pyramid=single,21.7026,0.62359,0.87288,,576,4.26719856262207,0.26314473152160645,4.530515670776367
000000186042,512,0,iso_blue_noise,central,variance,jittered_grid,bilinear,uniform,none,normalized,l1,adam,none,residual_add,pyramid,strategy=iso_blue_noise|tensor=central|density=variance|sampling=jittered_grid|color=bilinear|scale=uniform|renderer=normalized|opacity=none|loss=l1|optimizer=adam|lr_schedule=none|refine=residual_add|pyramid=pyramid,19.7682,0.53819,0.78004,,576,0.0,0.18391990661621094,0.18391990661621094
000000186042,512,0,iso_blue_noise,central,structure,jittered_grid,two_sided,spacing,none,normalized,l1,adamw,none,prune_residual_add,single,strategy=iso_blue_noise|tensor=central|density=structure|sampling=jittered_grid|color=two_sided|scale=spacing|renderer=normalized|opacity=none|loss=l1|optimizer=adamw|lr_schedule=none|refine=prune_residual_add|pyramid=single,21.8534,0.61714,0.87977,,576,0.0017337799072265625,0.1916348934173584,0.19353389739990234
000000186042,512,0,iso_blue_noise,scharr,structure,wse,bilinear,spacing,none,additive,l1,adamw,none,residual_add,single,strategy=iso_blue_noise|tensor=scharr|density=structure|sampling=wse|color=bilinear|scale=spacing|renderer=additive|opacity=none|loss=l1|optimizer=adamw|lr_schedule=none|refine=residual_add|pyramid=single,-7.4152,0.55539,0.59617,,576,2.3899102210998535,0.17629098892211914,2.566404104232788
000000186042,512,0,aniso_flanking,central,hybrid,density_random,bilinear,uniform,constant,normalized,charbonnier,adamw,cosine,residual_add,single,strategy=aniso_flanking|tensor=central|density=hybrid|sampling=density_random|color=bilinear|scale=uniform|renderer=normalized|opacity=constant|loss=charbonnier|optimizer=adamw|lr_schedule=cosine|refine=residual_add|pyramid=single,21.8688,0.62948,0.8787,,576,0.003223419189453125,0.26909446716308594,0.2724759578704834
000000186042,512,0,aniso_flanking,scharr,hybrid,density_random,local_mean,spacing,constant,additive,charbonnier,adam,cosine,residual_add,single,strategy=aniso_flanking|tensor=scharr|density=hybrid|sampling=density_random|color=local_mean|scale=spacing|renderer=additive|opacity=constant|loss=charbonnier|optimizer=adam|lr_schedule=cosine|refine=residual_add|pyramid=single,3.2424,0.43737,0.58749,,576,0.0030083656311035156,0.1884913444519043,0.19163036346435547
000000186042,512,0,iso_blue_noise,scharr,hybrid,wse,local_mean,uniform,constant,additive,l1,adam,none,residual_add,single,strategy=iso_blue_noise|tensor=scharr|density=hybrid|sampling=wse|color=local_mean|scale=uniform|renderer=additive|opacity=constant|loss=l1|optimizer=adam|lr_schedule=none|refine=residual_add|pyramid=single,-3.2541,0.31288,0.31825,,576,2.259103298187256,0.17830944061279297,2.437598705291748
000000186042,512,0,aniso_onedge,central,variance,density_random,local_mean,spacing,none,additive,l1,adam,none,residual_add,pyramid,strategy=aniso_onedge|tensor=central|density=variance|sampling=density_random|color=local_mean|scale=spacing|renderer=additive|opacity=none|loss=l1|optimizer=adam|lr_schedule=none|refine=residual_add|pyramid=pyramid,-2.5682,0.27959,0.38565,,576,0.0,0.16630887985229492,0.16630887985229492
000000186042,512,0,iso_blue_noise,scharr,variance,wse,two_sided,spacing,none,additive,l1,adamw,none,none,single,strategy=iso_blue_noise|tensor=scharr|density=variance|sampling=wse|color=two_sided|scale=spacing|renderer=additive|opacity=none|loss=l1|optimizer=adamw|lr_schedule=none|refine=none|pyramid=single,18.0177,0.5571,0.7711,,512,2.0827105045318604,0.1461176872253418,2.2289321422576904
000000186042,512,0,aniso_onedge,central,variance,density_random,bilinear,spacing,none,normalized,l1,adamw,none,none,single,strategy=aniso_onedge|tensor=central|density=variance|sampling=density_random|color=bilinear|scale=spacing|renderer=normalized|opacity=none|loss=l1|optimizer=adamw|lr_schedule=none|refine=none|pyramid=single,26.0141,0.79008,0.95567,,512,0.0022170543670654297,0.14918231964111328,0.15150761604309082
000000186042,512,0,aniso_flanking,central,variance,density_random,local_mean,spacing,none,additive,charbonnier,adamw,cosine,residual_add,pyramid,strategy=aniso_flanking|tensor=central|density=variance|sampling=density_random|color=local_mean|scale=spacing|renderer=additive|opacity=none|loss=charbonnier|optimizer=adamw|lr_schedule=cosine|refine=residual_add|pyramid=pyramid,-6.6013,0.19564,0.25761,,576,0.0,0.17147088050842285,0.17147088050842285
000000186042,512,0,iso_blue_noise,central,variance,jittered_grid,local_mean,spacing,constant,normalized,charbonnier,adamw,cosine,none,single,strategy=iso_blue_noise|tensor=central|density=variance|sampling=jittered_grid|color=local_mean|scale=spacing|renderer=normalized|opacity=constant|loss=charbonnier|optimizer=adamw|lr_schedule=cosine|refine=none|pyramid=single,21.4265,0.60242,0.86407,,512,0.00304412841796875,0.16063404083251953,0.16380786895751953
000000186042,512,0,aniso_onedge,scharr,structure,wse,two_sided,spacing,none,normalized,l1,adam,cosine,residual_add,pyramid,strategy=aniso_onedge|tensor=scharr|density=structure|sampling=wse|color=two_sided|scale=spacing|renderer=normalized|opacity=none|loss=l1|optimizer=adam|lr_schedule=cosine|refine=residual_add|pyramid=pyramid,22.6189,0.67218,0.88542,,576,0.0,5.025176286697388,5.025176286697388
000000186042,512,0,aniso_flanking,central,variance,wse,two_sided,spacing,none,additive,l1,adamw,none,none,single,strategy=aniso_flanking|tensor=central|density=variance|sampling=wse|color=two_sided|scale=spacing|renderer=additive|opacity=none|loss=l1|optimizer=adamw|lr_schedule=none|refine=none|pyramid=single,19.4701,0.56285,0.81476,,512,4.103572607040405,0.1545276641845703,4.258193492889404
000000186042,512,0,aniso_flanking,central,variance,jittered_grid,two_sided,spacing,none,additive,l1,adamw,none,prune_residual_add,pyramid,strategy=aniso_flanking|tensor=central|density=variance|sampling=jittered_grid|color=two_sided|scale=spacing|renderer=additive|opacity=none|loss=l1|optimizer=adamw|lr_schedule=none|refine=prune_residual_add|pyramid=pyramid,-10.6587,0.11808,0.1617,,576,0.0,0.19132590293884277,0.19132590293884277
000000186042,512,0,iso_blue_noise,scharr,hybrid,density_random,bilinear,spacing,none,normalized,l1,adamw,none,prune_residual_add,pyramid,strategy=iso_blue_noise|tensor=scharr|density=hybrid|sampling=density_random|color=bilinear|scale=spacing|renderer=normalized|opacity=none|loss=l1|optimizer=adamw|lr_schedule=none|refine=prune_residual_add|pyramid=pyramid,22.2965,0.62682,0.8752,,576,0.0,0.1665973663330078,0.1665973663330078
000000186042,512,0,aniso_onedge,scharr,variance,wse,two_sided,spacing,constant,normalized,l1,adam,none,residual_add,single,strategy=aniso_onedge|tensor=scharr|density=variance|sampling=wse|color=two_sided|scale=spacing|renderer=normalized|opacity=constant|loss=l1|optimizer=adam|lr_schedule=none|refine=residual_add|pyramid=single,25.4321,0.78352,0.93841,,576,4.128183364868164,0.1823117733001709,4.31062388420105
000000186042,512,0,iso_blue_noise,central,hybrid,density_random,local_mean,spacing,constant,normalized,charbonnier,adam,none,prune_residual_add,single,strategy=iso_blue_noise|tensor=central|density=hybrid|sampling=density_random|color=local_mean|scale=spacing|renderer=normalized|opacity=constant|loss=charbonnier|optimizer=adam|lr_schedule=none|refine=prune_residual_add|pyramid=single,23.2238,0.68255,0.89827,,576,0.0026290416717529297,0.1946570873260498,0.19743728637695312
000000186042,512,0,aniso_onedge,scharr,variance,density_random,two_sided,spacing,constant,additive,l1,adam,cosine,residual_add,single,strategy=aniso_onedge|tensor=scharr|density=variance|sampling=density_random|color=two_sided|scale=spacing|renderer=additive|opacity=constant|loss=l1|optimizer=adam|lr_schedule=cosine|refine=residual_add|pyramid=single,2.0895,0.42297,0.55656,,576,0.0024225711822509766,0.17084479331970215,0.1733696460723877
000000186042,512,0,iso_blue_noise,central,hybrid,density_random,bilinear,spacing,constant,additive,l1,adamw,cosine,prune_residual_add,pyramid,strategy=iso_blue_noise|tensor=central|density=hybrid|sampling=density_random|color=bilinear|scale=spacing|renderer=additive|opacity=constant|loss=l1|optimizer=adamw|lr_schedule=cosine|refine=prune_residual_add|pyramid=pyramid,-2.0228,0.24279,0.31136,,576,0.0,0.17206072807312012,0.17206072807312012
000000190140,512,0,aniso_flanking,central,structure,wse,bilinear,spacing,none,normalized,charbonnier,adam,none,residual_add,single,strategy=aniso_flanking|tensor=central|density=structure|sampling=wse|color=bilinear|scale=spacing|renderer=normalized|opacity=none|loss=charbonnier|optimizer=adam|lr_schedule=none|refine=residual_add|pyramid=single,23.7689,0.73603,0.92654,,576,6.521432161331177,0.23409748077392578,6.755700349807739
